window,start_ns,stop_ns,mean_mV,vpp_mV,robust_vpp_mV,periodic_vpp_mV,coherence,source_setting_mV,current_uA,candidate,dt_ns
0,50.0,100.0,96.27801724759053,1.3792807958644886,1.206474891174878,0.1016483048419032,0.006059126807715254,1000.0,756.6243660265701,reference,0.0125
1,100.0,150.0,96.02427523405682,1.5202916328199763,1.3452452844783949,0.17992283188533859,0.022254426270037264,1000.0,756.6243660265701,reference,0.0125
2,150.0,200.0,96.02473170422235,1.4043294413423695,1.0876915909098983,0.1231121242872832,0.0107099711809302,1000.0,756.6243660265701,reference,0.0125
3,200.0,250.0,95.99912732943912,1.3395697896923906,1.228816690487747,0.1230069892195632,0.005863041454392093,1000.0,756.6243660265701,reference,0.0125
0,50.0,100.0,88.97370394618206,0.9965007239093211,0.8581980945423027,0.08676103952274204,0.00543543690026993,1100.0,834.7865599618726,reference,0.0125
1,100.0,150.0,88.8353871600731,1.0100377575241026,0.8575977019690981,0.374585050117956,0.02430597091086084,1100.0,834.7865599618726,reference,0.0125
2,150.0,200.0,88.88452043404357,0.9073208827134067,0.784017532616943,0.10106403581969922,0.007497584143555613,1100.0,834.7865599618726,reference,0.0125
3,200.0,250.0,88.69590552034488,0.9359893038436695,0.7886147672511612,0.27103824600395704,0.03998850891255967,1100.0,834.7865599618726,reference,0.0125
0,50.0,100.0,83.2526281434561,1.1587432911984052,1.0379711459460168,0.26244871422091115,0.028094469424833735,1200.0,906.8051472486442,reference,0.0125
1,100.0,150.0,83.13792611038802,1.0206624023798838,0.9036787419748293,0.14325180671424004,0.010380633536790862,1200.0,906.8051472486442,reference,0.0125
2,150.0,200.0,83.08041706884461,1.0906966052467482,0.9639803023858207,0.2533658578238822,0.023151979194351302,1200.0,906.8051472486442,reference,0.0125
