window,start_ns,stop_ns,mean_mV,vpp_mV,robust_vpp_mV,periodic_vpp_mV,coherence,fit_mode,source_setting_mV
2,150.0,200.0,178.70901930825713,0.23700263666773935,0.20293927267360345,0.27288324745068904,0.05925043869443403,relaxed,100.0
3,200.0,250.0,178.7913877756539,0.3986211705292533,0.3521229383924549,0.44452218218914447,0.140884434262885,relaxed,100.0
0,50.0,100.0,245.41045206297696,4.527285960982823,3.062505207644591,3.112370471438826,0.7993434543303315,relaxed,150.0
1,100.0,150.0,243.53678884662384,0.41905054452249146,0.34201053668513737,0.29388210736992426,0.6052149676767354,relaxed,150.0
2,150.0,200.0,243.6282788462104,0.31031672560749257,0.25844302935433916,0.22743703573661814,0.663977023223156,relaxed,150.0
3,200.0,250.0,243.72351172559186,0.2951630763909634,0.2500373971660679,0.01573987787058164,0.03913078535793946,relaxed,150.0
0,50.0,100.0,296.68575946295323,12.90974005186473,12.764842716377643,3.4274668760275304,0.9471551374204221,relaxed,200.0
1,100.0,150.0,291.36351763125225,0.5100071790741936,0.45628080274411786,0.04865798599972587,0.09242869948881427,relaxed,200.0
2,150.0,200.0,291.6248082285776,0.5154614950193945,0.4656806965307396,0.2705732936927538,0.8069328667263734,relaxed,200.0
3,200.0,250.0,291.91374850907977,0.6281124284452062,0.5493106938776577,0.3441775165650898,0.8842320589954906,relaxed,200.0
0,50.0,100.0,327.3978285030092,35.83186890691502,33.94867887197586,18.528967539579554,0.9955088864844261,relaxed,250.0
1,100.0,150.0,321.08350342106866,1.8976635627595329,1.4110402266982192,1.4310227685319743,0.9579630840173591,relaxed,250.0
2,150.0,200.0,321.0645649948442,0.3896647702641758,0.3569374262573888,0.3403261935094305,0.3804769343481965,relaxed,250.0
3,200.0,250.0,321.1509989561811,0.33566554050696595,0.3009504326478236,0.19505723886136708,0.4922448870122361,relaxed,250.0
0,50.0,100.0,210.49837010593262,360.346486870445,310.84223927817493,250.76020235544536,0.6833660334805178,relaxed,300.0
1,100.0,150.0,251.8027297866496,289.0497816845177,271.06761526319724,227.84591904984822,0.7735976577101288,relaxed,300.0
2,150.0,200.0,225.42431380559768,193.6667516575689,166.13438573213023,148.19314535295945,0.876910317786182,relaxed,300.0
3,200.0,250.0,227.24605500563416,247.79703459468845,240.49898792715663,230.95956403864307,0.8347644648345032,relaxed,300.0
0,50.0,100.0,242.8013888594018,351.32798591334364,337.5136288148374,189.30418871279315,0.7361715800353892,relaxed,350.0
1,100.0,150.0,204.91784375074008,341.87383461497035,300.0253883634022,246.37736763924462,0.696672590396687,relaxed,350.0
2,150.0,200.0,238.65568476718622,325.06589676369424,300.64631847994974,228.67142048384866,0.7355201693949212,relaxed,350.0
3,200.0,250.0,215.85799891763196,349.42094118297405,319.23193512278635,266.93162103292326,0.7246197228686382,relaxed,350.0
0,50.0,100.0,219.87094663796375,373.89257755425916,354.85579316598387,282.59899642903986,0.6806133415418447,relaxed,400.0
1,100.0,150.0,217.98870608968926,374.1106289157908,353.4519311651304,278.6988388208533,0.63475652832031,relaxed,400.0
